3; ['6*x_0 + 2*x_1 + 2*x_2 <= 3']
3; ['2*x_0 + 7*x_1 + 7*x_2 <= 7']
3; ['5*x_0 + 4*x_1 + 1*x_2 <= 6']
3; ['2*x_0 + 10*x_1 + 4*x_2 <= 6']
3; ['2*x_0 + 5*x_1 + 2*x_2 <= 5']
3; ['3*x_0 + 8*x_1 + 3*x_2 <= 5']
3; ['10*x_0 + 8*x_1 + 10*x_2 <= 9']
3; ['10*x_0 + 1*x_1 + 9*x_2 <= 7']
3; ['7*x_0 + 10*x_1 + 9*x_2 <= 8']
3; ['2*x_0 + 6*x_1 + 1*x_2 <= 3']
4; ['9*x_0 + 9*x_1 + 4*x_2 + 1*x_3 <= 9']
4; ['4*x_0 + 6*x_1 + 2*x_2 + 10*x_3 <= 7']
4; ['4*x_0 + 6*x_1 + 1*x_2 + 1*x_3 <= 6']
4; ['8*x_0 + 5*x_1 + 7*x_2 + 4*x_3 <= 11']
4; ['7*x_0 + 7*x_1 + 10*x_2 + 2*x_3 <= 10']
4; ['1*x_0 + 3*x_1 + 9*x_2 + 8*x_3 <= 10']
4; ['8*x_0 + 10*x_1 + 1*x_2 + 2*x_3 <= 12']
4; ['3*x_0 + 1*x_1 + 4*x_2 + 8*x_3 <= 7']
4; ['4*x_0 + 2*x_1 + 10*x_2 + 8*x_3 <= 13']
4; ['5*x_0 + 1*x_1 + 10*x_2 + 4*x_3 <= 10']
5; ['5*x_0 + 10*x_1 + 1*x_2 + 9*x_3 + 6*x_4 <= 19']
5; ['9*x_0 + 2*x_1 + 1*x_2 + 9*x_3 + 6*x_4 <= 13']
5; ['1*x_0 + 9*x_1 + 5*x_2 + 2*x_3 + 10*x_4 <= 10']
5; ['10*x_0 + 8*x_1 + 2*x_2 + 1*x_3 + 4*x_4 <= 10']
5; ['4*x_0 + 5*x_1 + 3*x_2 + 7*x_3 + 6*x_4 <= 11']
5; ['1*x_0 + 4*x_1 + 8*x_2 + 10*x_3 + 8*x_4 <= 16']
5; ['2*x_0 + 2*x_1 + 9*x_2 + 10*x_3 + 4*x_4 <= 18']
5; ['1*x_0 + 10*x_1 + 3*x_2 + 5*x_3 + 1*x_4 <= 12']
5; ['6*x_0 + 7*x_1 + 8*x_2 + 9*x_3 + 5*x_4 <= 14']
5; ['1*x_0 + 6*x_1 + 9*x_2 + 8*x_3 + 9*x_4 <= 18']
